NAVIGATIONTYPE,BUCKET,COUNT
navigate,82,33746
navigate,83,32549
navigate,84,31409
navigate,85,30393
navigate,86,29075
navigate,87,28223
navigate,88,27274
navigate,89,26095
navigate,90,25328
navigate,91,24398
navigate,92,23752
navigate,93,22664
navigate,94,22116
navigate,95,21268
navigate,96,20927
navigate,97,19911
navigate,98,19296
navigate,99,18947
navigate,100,18376
navigate,101,161112
navigate,102,132236
navigate,103,98481
navigate,104,75446
navigate,105,59189
navigate,106,49847
navigate,107,42404
navigate,108,35031
navigate,109,28976
navigate,110,25187
navigate,111,22984
navigate,112,22129
navigate,113,18709
navigate,114,15716
navigate,115,13604
navigate,116,11912
navigate,117,10654
navigate,118,9657
navigate,119,8530
navigate,120,7956
navigate,121,8082
navigate,122,8215
navigate,123,7314
navigate,124,6042
navigate,125,5468
navigate,126,6797
navigate,127,4697
navigate,128,4255
navigate,129,3778
navigate,130,3747
navigate,131,3600
navigate,132,3112
navigate,133,2863
navigate,134,2635
navigate,135,2367
navigate,136,2258
navigate,137,2075
navigate,138,1926
navigate,139,1712
navigate,140,1693
navigate,141,1578
navigate,142,1448
navigate,143,1377
navigate,144,1307
navigate,145,1204
navigate,146,1147
navigate,147,1074
navigate,148,983
navigate,149,974
navigate,150,948
navigate,151,32863
reload,1,3082
reload,2,65475
reload,3,170289
reload,4,216801
reload,5,226440
reload,6,218894
reload,7,209700
reload,8,197584
reload,9,179367
reload,10,161407
reload,11,143033
reload,12,126148
reload,13,111001
reload,14,98293
reload,15,86916
reload,16,76255
reload,17,66077
reload,18,57779
reload,19,50344
reload,20,44225
reload,21,39438
reload,22,34593
reload,23,31254
reload,24,27606
reload,25,24738
reload,26,22147
reload,27,20028
reload,28,18203
reload,29,16370
reload,30,14929
reload,31,13493
reload,32,12563
reload,33,11534
reload,34,10424
reload,35,9679
reload,36,9112
reload,37,8449
reload,38,7598
reload,39,6968
reload,40,6552
reload,41,6074
reload,42,5943
reload,43,5693
reload,44,5380
reload,45,5098
reload,46,4777
reload,47,4538
reload,48,4042
reload,49,3797
reload,50,3545
reload,51,3320
reload,52,3172
reload,53,2898
reload,54,2711
reload,55,2610
reload,56,2519
reload,57,2327
reload,58,2247
reload,59,2142
reload,60,1979
reload,61,1914
reload,62,1878
reload,63,1766
reload,64,1773
reload,65,1776
reload,66,1672
reload,67,1575
reload,68,1450
reload,69,1365
reload,70,1473
reload,71,1637
reload,72,1505
reload,73,1408
reload,74,1413
reload,75,1280
reload,76,1263
reload,77,1223
reload,78,1164
reload,79,1126
reload,80,1010
reload,81,993
reload,82,965
reload,83,940
reload,84,906
reload,85,884
reload,86,879
reload,87,787
reload,88,750
reload,89,737
reload,90,723
reload,91,708
reload,92,688
reload,93,686
reload,94,671
reload,95,702
reload,96,685
reload,97,692
reload,98,639
reload,99,609
reload,100,573
reload,101,7456
reload,102,7886
reload,103,6807
reload,104,5035
reload,105,2713
reload,106,2208
reload,107,1723
reload,108,1261
reload,109,1104
reload,110,846
reload,111,803
reload,112,858
reload,113,755
reload,114,620
reload,115,540
reload,116,420
reload,117,433
reload,118,351
reload,119,321
reload,120,299
reload,121,305
reload,122,284
reload,123,263
reload,124,204
reload,125,193
reload,126,177
reload,127,183
reload,128,164
reload,129,137
reload,130,168
reload,131,143
reload,132,127
reload,133,122
reload,134,115
reload,135,109
reload,136,87
reload,137,100
reload,138,92
reload,139,88
reload,140,76
reload,141,70
reload,142,68
reload,143,78
reload,144,60
reload,145,68
reload,146,51
reload,147,55
reload,148,46
reload,149,45
reload,150,49
reload,151,2035
