VISIBILITYSTATE,BUCKET,COUNT
visible,44,262170
visible,45,245196
visible,46,229770
visible,47,214959
visible,48,201712
visible,49,189226
visible,50,177662
visible,51,165973
visible,52,156311
visible,53,146517
visible,54,138087
visible,55,130076
visible,56,122994
visible,57,115594
visible,58,109618
visible,59,102687
visible,60,97607
visible,61,92255
visible,62,87338
visible,63,82653
visible,64,78660
visible,65,74737
visible,66,71233
visible,67,67562
visible,68,63803
visible,69,60926
visible,70,57801
visible,71,55622
visible,72,53186
visible,73,50682
visible,74,48766
visible,75,46115
visible,76,44386
visible,77,42701
visible,78,40976
visible,79,38812
visible,80,37624
visible,81,36177
visible,82,34618
visible,83,33505
visible,84,32378
visible,85,31277
visible,86,30022
visible,87,28932
visible,88,27919
visible,89,26824
visible,90,26064
visible,91,25034
visible,92,24405
visible,93,23307
visible,94,22770
visible,95,21999
visible,96,21515
visible,97,20533
visible,98,19928
visible,99,19494
visible,100,18877
visible,101,167697
visible,102,139262
visible,103,104335
visible,104,79551
visible,105,61028
visible,106,51382
visible,107,43341
visible,108,35596
visible,109,29491
visible,110,25503
visible,111,23284
visible,112,22520
visible,113,19078
visible,114,15866
visible,115,13752
visible,116,11942
visible,117,10781
visible,118,9675
visible,119,8597
visible,120,7983
visible,121,8196
visible,122,8272
visible,123,7359
visible,124,6054
visible,125,5438
visible,126,6794
visible,127,4675
visible,128,4272
visible,129,3769
visible,130,3777
visible,131,3581
visible,132,3093
visible,133,2865
visible,134,2638
visible,135,2367
visible,136,2261
visible,137,2057
visible,138,1930
visible,139,1716
visible,140,1692
visible,141,1574
visible,142,1442
visible,143,1376
visible,144,1292
visible,145,1221
visible,146,1157
visible,147,1071
visible,148,983
visible,149,948
visible,150,944
visible,151,32288
